first_login_ip,shared_user_count,enabled_user_count,disabled_user_count,wallet_topup_user_count
113.81.45.230,15,1,0,1
116.30.4.83,11,3,0,3
202.85.76.78,8,4,0,4
218.17.188.162,8,1,0,1
134.195.101.193,7,1,0,1
203.10.99.34,7,1,0,1
223.88.52.16,7,1,0,1
183.241.20.184,6,1,0,1
188.253.120.197,6,1,0,1
103.62.49.138,5,2,0,2
117.189.125.124,5,2,0,2
188.253.120.213,5,1,0,1
104.234.0.177,4,1,0,1
116.26.225.6,4,4,0,4
151.242.181.11,4,2,0,2
203.10.99.27,4,1,0,1
67.159.52.62,4,4,0,4
103.151.172.84,3,1,0,1
154.23.160.7,3,1,0,1
183.11.156.141,3,2,0,2
183.192.124.114,3,1,0,1
183.227.175.253,3,1,0,1
183.36.160.10,3,1,0,1
203.10.99.42,3,1,0,1
219.144.164.202,3,3,0,3
222.134.65.138,3,2,0,2
39.174.129.4,3,1,0,1
45.58.187.218,3,2,0,2
45.67.201.222,3,1,0,1
58.247.118.170,3,1,0,1
64.118.146.75,3,3,0,3
